"","y"
"1",-0.670877932244164
"2",0.101245175027795
"3",0.854929328214873
"4",0.684535865599104
"5",0.398008927397853
"6",1.7006312525402
"7",-0.373590918792717
"8",0.783738685896731
"9",-0.634373946686638
"10",0.839729022471228
"11",0.248519780717063
"12",0.0195360348653915
"13",-0.603179233051364
"14",0.272516536915446
"15",-0.473081689210411
"16",-1.18791974508176
"17",-1.0293942511288
"18",-1.63825674325734
"19",-1.10355875601731
"20",-1.2537952543913
"21",-0.421712219363139
"22",0.879143080195658
"23",1.34484911685619
"24",0.609457197234427
"25",-0.504711937157678
"26",0.787926489661154
"27",-0.340558189352649
"28",0.704039392887715
"29",-0.628175363855056
"30",-0.688892468653667
"31",-0.15875153699023
"32",0.189173367976185
"33",0.154567356831258
"34",0.143706129388016
"35",-0.0432057843721154
"36",0.791739937089792
"37",0.379414148982431
"38",-0.885325049683289
"39",-0.769472767251947
"40",0.128396697172384
"41",-1.10926167026814
"42",-1.18122858446886
"43",-1.28055555179033
"44",-0.866438987131771
"45",1.52626459340217
"46",-0.284409471646414
"47",-0.315126897246755
"48",-1.54197133766903
"49",-0.00549048234642482
"50",0.864131778572031
"51",0.69581976047465
"52",0.251803791590124
"53",0.408888527067158
"54",-0.0850924408288999
"55",-1.53054659559741
"56",-0.160082208179981
"57",2.00693737761232
"58",-0.00308949161909874
"59",0.421197929632054
"60",-0.984398377178812
"61",1.15200422839274
"62",0.787576507868195
"63",-0.486691186690187
"64",-1.60248417282814
"65",-0.408421117212178
"66",-0.0758629466974895
"67",-0.367223229390052
"68",-0.61344450204594
"69",-1.1839421442598
"70",-0.832962143537174
"71",-1.30975285722079
"72",0.12696102657955
"73",-1.43904162797497
"74",0.897939437263023
"75",0.238824803699044
"76",-0.41852374540794
"77",-0.308140814901607
"78",-1.2965012193978
"79",0.276691393719463
"80",1.00187108946086
"81",-0.368423347041055
"82",1.33156394942134
"83",0.0332778518308677
"84",-1.10039861720476
"85",-0.593802653512698
"86",-0.472056958613058
"87",-0.96462343344748
"88",-0.64061539144596
"89",-2.90055489681319
"90",-0.092523076305487
"91",-0.206518646433234
"92",-0.993037589031679
"93",-0.0186558298774542
"94",0.0552755575193831
"95",0.150913561729448
"96",0.107723263933838
"97",0.370999042447922
"98",-0.141975837183117
"99",-0.345193497818376
"100",0.284353301343125
