"","y"
"1",0.475227045625503
"2",-1.00039310882867
"3",1.34844673201596
"4",0.376593163477355
"5",1.45387549962247
"6",-0.209306627155161
"7",0.91797888099743
"8",-1.90191549134843
"9",0.286103192555308
"10",-0.0139820476657425
"11",0.175040871277652
"12",0.893403809950553
"13",-1.80221080588801
"14",0.871491374390291
"15",-0.929320267915889
"16",0.273120037293962
"17",-0.181499651367724
"18",0.367851062378698
"19",-1.12285203117228
"20",0.651289660801347
"21",-0.554860948331277
"22",-1.29691153781396
"23",-1.54267957135678
"24",-0.606223260756741
"25",-0.24534408130472
"26",0.0984266820686202
"27",0.0228611263810914
"28",0.358483222179877
"29",-0.515351069282387
"30",-1.59345389714197
"31",-1.5431250404649
"32",0.231985240054038
"33",0.500726797173388
"34",0.0978580998830314
"35",1.43161277539517
"36",-0.321261036014418
"37",-2.46190163652944
"38",0.764933459784606
"39",0.477624059466422
"40",-0.503241007652999
"41",0.0463161183243766
"42",1.72314015201969
"43",1.5215619960135
"44",-0.461934500319518
"45",-0.516676142986477
"46",1.20273133884454
"47",0.0447637787602714
"48",0.658439636440322
"49",0.699530367575375
"50",-1.02298156364177
"51",0.893391190199016
"52",0.623816749105549
"53",-0.427063867852276
"54",1.33849562947164
"55",0.182983759761242
"56",0.887269463719027
"57",0.379858412615146
"58",0.265892552326798
"59",0.653037528641924
"60",3.00227486955102
"61",0.392615440870469
"62",-0.597538700256751
"63",-0.918576150761064
"64",-0.279403901103903
"65",2.13981740376462
"66",1.11736440578579
"67",1.20034679822559
"68",0.786920385754573
"69",0.325770518018429
"70",1.38477601363351
"71",0.713086627168282
"72",0.99019864434053
"73",1.05309066816317
"74",0.804748757202426
"75",1.53663239167216
"76",0.269615497376107
"77",-0.338054954967367
"78",-1.29804155490425
"79",0.533403819270425
"80",0.836102064573041
"81",1.19438693787233
"82",0.824156168178187
"83",0.43837417681982
"84",1.11124150976224
"85",0.976985966060801
"86",0.773357484709469
"87",0.173180142685825
"88",-1.48576712899857
"89",1.18323515739415
"90",1.46865941519314
"91",0.0532482622551326
"92",-1.23805637028467
"93",0.549137459458166
"94",-1.30698749763376
"95",-1.29022948272096
"96",-1.57600391032412
"97",0.299786775664953
"98",1.3001340353888
"99",-0.484844501134361
"100",1.38820805336305
